宝盛北里三居室，高楼层，电梯直达，满五年唯一,宝盛北里,清河,3室1厅 ,140.25, 南 北 , 精装 ,9, 2004年 , 板楼,89, 3个月以前发布,9600000.0,"68,450元/平",VR房源 房本满五年 
花园新区 带电梯 南向两居室 中间楼层 采光视野好,花园新区,清河,2室1厅 ,103.95, 南 , 简装 ,20, 2010年 , 塔楼,155, 一年前发布,6170000.0,"59,356元/平",VR看装修 房本满五年 
橡树湾一期 全明格局两居室 西南向安静 视野采光俱佳,橡树湾一期,清河,2室2厅 ,88.3, 西南 , 简装 ,22, 2007年 , 板塔结合,29, 6个月以前发布,11700000.0,"132,503元/平",近地铁 VR看装修 房本满五年 
观景园 正规一居 品质住宅 采光充足,观景园,清河,1室1厅 ,66.76, 东北 , 精装 ,6, 2008年 , 板楼,9, 一年前发布,6000000.0,"89,875元/平",VR看装修 房本满五年 
清河福美苑 正规三居室 全明户型 中间层,福美苑,清河,3室1厅 ,90.45, 南 西 北 , 精装 ,16, 2012年 , 板楼,44, 6个月以前发布,6700000.0,"74,075元/平",近地铁 VR看装修 房本满两年 
金隅美和园，满五年唯一商品房，全明格局，带电梯高层,金隅美和园,清河,3室1厅 ,83.1, 东 南 西 , 简装 ,9, 2008年 , 板楼,175, 一年前发布,7600000.0,"91,457元/平",近地铁 VR看装修 房本满五年 
宝盛里精装复式三居室，动静分离，业主诚售，满五唯一,宝盛里,清河,3室2厅 ,119.2, 南 北 , 精装 ,6, 2002年 , 板楼,12, 5个月以前发布,6690000.0,"56,125元/平",VR房源 房本满五年 
清河区永泰西里中间层精装修两居室,永泰西里,清河,2室1厅 ,58.15, 南 北 , 精装 ,6, 1998年 , 板楼,18, 一年前发布,5200000.0,"89,424元/平",近地铁 VR看装修 房本满两年 
621小区，诚意出售，看房方便，满五年唯一,621小区,清河,3室1厅 ,76.6, 南 北 , 精装 ,6, 1988年 , 板楼,8, 7个月以前发布,5800000.0,"75,719元/平",VR房源 房本满五年 
清河永泰园满五年商品房，明厅两居 中间层 采光好，,永泰园,清河,2室1厅 ,60.34, 南 , 简装 ,6, 1998年 , 板楼,15, 8个月以前发布,4790000.0,"79,384元/平",近地铁 VR看装修 房本满五年 
前屯路满5年唯一，自住精装修3层，产权清晰，南北通透,前屯路58号院,清河,2室1厅 ,59.2, 南 北 , 精装 ,6, 1989年 , 板楼,9, 6个月以前发布,4570000.0,"77,196元/平",VR看装修 房本满两年 
橡树湾三期   户型方正 精装 拎包入住,橡树湾三期,清河,2室1厅 ,99.93, 东南 , 其他 ,20, 2011年 , 板塔结合,20, 11个月以前发布,13300000.0,"133,094元/平",近地铁 VR看装修 房本满五年 
海淀清河双地铁 电科院优质两居 南北通透 中间层,小营东路6号院,清河,2室1厅 ,56.1, 南 北 , 精装 ,5, 1985年 , 板楼,16, 5个月以前发布,4650000.0,"82,888元/平",近地铁 VR房源 房本满五年 
橡树湾一期  视野开阔 次顶层 位置安静 诚意售,橡树湾一期,清河,3室1厅 ,98.27, 东 西 , 其他 ,11, 2008年 , 板塔结合,17, 5个月以前发布,13000000.0,"132,289元/平",近地铁 VR房源 房本满五年 
橡树湾四期 正规两居  户型方正  精装修 空间布局合理,橡树湾四期,清河,2室2厅 ,91.05, 东 , 精装 ,16, 2014年 , 板塔结合,4, 6个月以前发布,12380000.0,"135,970元/平",VR看装修 房本满五年 
621小区 五星社区 南北通透户型优 采光棒 诚心出售,621小区,清河,3室1厅 ,69.1, 南 北 , 简装 ,6, 1980年 , 板楼,11, 8个月以前发布,5500000.0,"79,595元/平",近地铁 VR看装修 房本满五年 
永泰园南向正规一室一厅，满五年家庭一套房。,永泰园,清河,1室1厅 ,44.54, 南 北 , 精装 ,7, 1999年 , 板楼,7, 6个月以前发布,3880000.0,"87,113元/平",近地铁 VR房源 房本满五年 
清河五彩城旁正规南北通透三居，楼层好视野无遮挡,毛纺厂南小区,清河,3室1厅 ,69.5, 南 北 , 简装 ,6, 1986年 , 板楼,20, 6个月以前发布,5600000.0,"80,576元/平",近地铁 VR看装修 房本满五年 
清秀阁小区经典三居室业主诚意出售,清秀阁,清河,3室2厅 ,118.59, 南 西 , 简装 ,6, 2005年 , 板楼,32, 一年前发布,9900000.0,"83,481元/平",近地铁 VR看装修 房本满五年 
清河北京621厂宿舍 精装修两居诚意出售,621小区,清河,2室1厅 ,66.9, 东 南 西 , 精装 ,4, 1960年 , 板楼,4, 8个月以前发布,5490000.0,"82,063元/平",近地铁 VR看装修 房本满五年 
世华龙樾一期西区 全南向一居室 低楼层 带电梯 诚售,世华龙樾一期西区,清河,1室1厅 ,56.5, 南 , 简装 ,17, 2013年 , 板楼,13, 5个月以前发布,5150000.0,"91,151元/平",近地铁 VR看装修 房本满两年 
阳光南里 板楼三居 格局方正 不临街 看房方便 近地铁,阳光南里,清河,3室1厅 ,90.5, 南 北 , 简装 ,6, 1998年 , 板楼,21, 5个月以前发布,7200000.0,"79,559元/平",VR看装修 房本满两年 
力度家园，满五年住宅，稳定出售,力度家园,清河,2室1厅 ,90.26, 东 北 , 精装 ,15, 2004年 , 板塔结合,22, 8个月以前发布,6500000.0,"72,015元/平",近地铁 VR看装修 房本满五年 
总监力推 满五年唯一 精品装修 布局分布合理 大阳台,永泰东里,清河,1室1厅 ,46.81, 南 , 精装 ,6, 1994年 , 板楼,26, 8个月以前发布,3490000.0,"74,557元/平",近地铁 VR房源 房本满五年 
毛纺厂南小区，精装修，两居室，南北，采光好,毛纺厂南小区,清河,2室1厅 ,53.8, 南 北 , 其他 ,6, 1992年 , 板楼,7, 10个月以前发布,3900000.0,"72,491元/平",近地铁 VR看装修 房本满五年 
毛纺厂南小区 价格能谈 看房方便,毛纺厂南小区,清河,2室1厅 ,59.5, 南 北 , 简装 ,6, 1981年 , 板塔结合,17, 6个月以前发布,3950000.0,"66,387元/平",近地铁 VR房源 房本满五年 
橡树湾三期 精装大一居 位置安静 采光很好无遮挡,橡树湾三期,清河,1室1厅 ,72.46, 东 , 精装 ,18, 2011年 , 板塔结合,6, 7个月以前发布,9450000.0,"130,417元/平",近地铁 VR看装修 房本满五年 
宝盛里中间层南北向两居室，业主自住精装修，诚意出售,宝盛里,清河,2室1厅 ,71.5, 南 北 , 精装 ,6, 2000年 , 板楼,36, 一年前发布,6060000.0,"84,756元/平",VR看装修 房本满五年 
永泰园 2室1厅 南 北,永泰园,清河,2室1厅 ,68.38, 南 北 , 精装 ,6, 1998年 , 板楼,2, 4个月以前发布,5190000.0,"75,900元/平",近地铁 VR看装修 房本满五年 
621小区 2室1厅 东 南,621小区,清河,2室1厅 ,54.1, 东 南 , 简装 ,6, 1993年 , 板楼,5, 6个月以前发布,5050000.0,"93,346元/平",近地铁 VR看装修 房本满两年 
宝盛北里 1室1厅 南,宝盛北里,清河,1室1厅 ,62.19, 南 , 精装 ,6, 2003年 , 板楼,6, 一年前发布,4990000.0,"80,238元/平",VR看装修 房本满五年 
楼下地铁 南向小户型 可以看房 价格可谈,燕清源,清河,1室0厅 ,42.08, 南 , 简装 ,28, 2005年 , 板塔结合,64, 3个月以前发布,3980000.0,"94,582元/平",VR看装修 房本满五年 
电科院 中间层 南向 正规一居室 双地铁 随时签约,小营东路7号院,清河,1室1厅 ,37.1, 南 , 精装 ,4, 1994年 , 板楼,9, 4个月以前发布,3290000.0,"88,680元/平",近地铁 VR房源 房本满两年 
一层下跃 诚意出售 采光视野好 可当四居使用,供电局宿舍家属楼,清河,4室1厅 ,88.75, 南 , 精装 ,6, 1998年 , 板楼,9, 4个月以前发布,7700000.0,"86,761元/平",近地铁 VR房源 房本满两年 随时看房 
房子东向两居带电梯，采光视野好。,强佑清河新城府学上院,清河,2室1厅 ,81.73, 东 , 精装 ,27, 2012年 , 板塔结合,37, 一年前发布,7280000.0,"89,074元/平",近地铁 VR房源 房本满两年 随时看房 
高巢南向loft，采光好，中间层，带电梯 看房随时,高巢,清河,2室1厅 ,47.96, 南 , 精装 ,15, 2005年 , 板塔结合,43, 一年前发布,3650000.0,"76,106元/平",近地铁 VR房源 房本满五年 随时看房 
福美苑 1室1厅 南,福美苑,清河,1室1厅 ,51.59, 南 , 简装 ,21, 2012年 , 板楼,16, 6个月以前发布,3950000.0,"76,566元/平",近地铁 VR看装修 房本满五年 
海淀清河 满二年 中间层采光好 精装 车位多 价格可谈,永泰西里,清河,1室1厅 ,46.21, 南 , 精装 ,6, 1998年 , 板楼,12, 4个月以前发布,3390000.0,"73,361元/平",近地铁 VR房源 房本满两年 随时看房 
怡清园南向有电梯满五唯一两居室,怡清园,清河,2室1厅 ,117.54, 南 , 简装 ,15, 2003年 , 板塔结合,7, 4个月以前发布,7150000.0,"60,831元/平",近地铁 VR房源 房本满五年 
强佑清河新城府学上院 1室1厅 南,强佑清河新城府学上院,清河,1室1厅 ,50.02, 南 , 简装 ,15, 2009年 , 板塔结合,37, 6个月以前发布,3970000.0,"79,369元/平",VR看装修 房本满两年 随时看房 
海淀产权 满五唯一 有电梯 小户型,观澳园,清河,1室1厅 ,47.28, 东 , 精装 ,6, 2006年 , 板楼,40, 一年前发布,3580000.0,"75,720元/平",近地铁 VR看装修 房本满五年 随时看房 
海淀产权 小户型 有电梯 临奥森,观澳园,清河,1室1厅 ,41.2, 东 , 简装 ,6, 2006年 , 板楼,73, 11个月以前发布,3150000.0,"76,457元/平",近地铁 VR房源 房本满五年 
清河宝盛里观澳园 小户型 随时看房 首付少 随时签约,观澳园,清河,1室0厅 ,41.2, 西 , 简装 ,6, 2006年 , 板楼,13, 6个月以前发布,3150000.0,"76,457元/平",近地铁 VR看装修 房本满两年 随时看房 
毛纺厂南小区 2室1厅 南 北,毛纺厂南小区,清河,2室1厅 ,59.0, 南 北 , 其他 ,5, 1979年 , 板楼,9, 10个月以前发布,4750000.0,"80,509元/平",近地铁 VR看装修 房本满五年 
观景园 精准两居 满五唯一 拎包入住,观景园,清河,2室1厅 ,91.44, 南 北 , 精装 ,6, 2011年 , 板楼,20, 8个月以前发布,7180000.0,"78,522元/平",VR房源 房本满五年 
宝盛里小区 中间层三居室 满五唯一商品房,宝盛里,清河,3室2厅 ,100.19, 东 西 , 简装 ,5, 2000年 , 板楼,17, 6个月以前发布,6600000.0,"65,875元/平",VR看装修 房本满五年 
浩思家园 平层四居室 满五年一套住房,专家国际花园,清河,4室2厅 ,271.13, 南 北 , 精装 ,5, 2011年 , 板楼,47, 一年前发布,25480000.0,"93,978元/平",近地铁 VR看装修 房本满五年 
雪梨澳乡E区类独栋三居室带侧院地上两层,雪梨澳乡E区,清河,3室3厅 ,195.7, 南 北 , 简装 ,2, 2004年 , 暂无数据,14, 3个月以前发布,20600000.0,"105,264元/平",VR房源 房本满五年 
海淀清河  观景园 2010年社区  满五唯一 有电梯,观景园,清河,4室2厅 ,180.14, 东 南 北 , 精装 ,6, 2008年 , 板楼,130, 一年前发布,14990000.0,"83,214元/平",VR看装修 房本满五年 
低密度洋房，平层精装四居室，眼睛户型，一梯一户,世华龙樾四期,清河,4室2厅 ,194.22, 南 北 , 精装 ,6, 2018年 , 板楼,31, 4个月以前发布,29500000.0,"151,890元/平",近地铁 VR看装修 房本满两年 
砂轮厂宿舍 1998年房源 南北通透 下楼即地铁 诚意出售,砂轮厂宿舍,清河,2室1厅 ,63.85, 南 北 , 其他 ,7, 1999年 , 板楼,5, 3个月以前发布,4400000.0,"68,912元/平",近地铁 VR房源 房本满两年 随时看房 
美和园满五年唯一商品房，业主自住精装修，电梯高楼层,金隅美和园,清河,2室2厅 ,83.9, 南 北 , 精装 ,9, 2008年 , 板楼,53, 一年前发布,7700000.0,"91,776元/平",VR看装修 房本满五年 随时看房 
美和园东区，中间层，满五年唯一，南北通透，采光充足,金隅美和园东区,清河,2室1厅 ,80.46, 南 北 , 简装 ,7, 2009年 , 板楼,40, 10个月以前发布,6890000.0,"85,633元/平",近地铁 VR看装修 房本满五年 
南向两居室，采光充足，看房方便。,世华龙樾一期西区,清河,2室1厅 ,75.83, 南 , 精装 ,18, 2014年 , 板楼,37, 10个月以前发布,7500000.0,"98,906元/平",VR看装修 房本满五年 
观景园小区满五年唯一 全明格局 中间层,观景园,清河,2室1厅 ,85.64, 南 东 , 简装 ,6, 2008年 , 板楼,47, 一年前发布,7950000.0,"92,831元/平",VR房源 房本满五年 随时看房 
海淀 清河 两居室满五年唯一商品房 随时签约 看房方便,宝盛里,清河,2室1厅 ,73.4, 东北 , 简装 ,5, 2000年 , 板楼,19, 4个月以前发布,4490000.0,"61,172元/平",VR看装修 房本满五年 随时看房 
满五唯一已转商采光好远离地铁噪音从不漏雨漏水无遮挡,金隅美和园东区,清河,3室1厅 ,85.97, 南 北 , 简装 ,6, 2010年 , 板楼,17, 11个月以前发布,7280000.0,"84,681元/平",近地铁 VR房源 房本满五年 
橡树湾一期 精装正规两居室 视野好 居住舒适,橡树湾一期,清河,2室1厅 ,71.26, 西 , 精装 ,11, 2007年 , 板塔结合,12, 5个月以前发布,9400000.0,"131,912元/平",近地铁 VR房源 房本满两年 随时看房 
橡树湾二期主力南向精装拎包入住,橡树湾二期,清河,2室1厅 ,88.53, 东南 , 精装 ,15, 2009年 , 板塔结合,25, 10个月以前发布,12200000.0,"137,807元/平",近地铁 VR看装修 房本满五年 随时看房 
加气混凝土厂精装修二居室，不临街，采光好,加气混凝土厂宿舍,清河,2室1厅 ,51.9, 东 , 精装 ,5, 1984年 , 板楼,2, 7个月以前发布,4140000.0,"79,769元/平",近地铁 VR看装修 房本满五年 随时看房 
砂轮厂宿舍 满五年 看房方便 1998年建成南北通透,砂轮厂宿舍,清河,2室1厅 ,63.85, 南 北 , 其他 ,7, 1999年 , 板楼,44, 6个月以前发布,4200000.0,"65,780元/平",近地铁 VR看装修 房本满五年 
小营东路6号院正规小三居 楼层2层 南北通透 随时看房,小营东路6号院,清河,3室1厅 ,56.2, 南 北 , 简装 ,5, 1985年 , 板楼,37, 6个月以前发布,4580000.0,"81,495元/平",近地铁 VR看装修 房本满五年 随时看房 
宝盛北里正规两居，满五年唯一，精装修，诚意售,宝盛北里,清河,2室1厅 ,86.85, 南 北 , 精装 ,6, 2004年 , 板楼,49, 5个月以前发布,5880000.0,"67,703元/平",VR看装修 房本满五年 随时看房 
高巢小区，带电梯一室一厅，70年大产权,高巢,清河,1室1厅 ,57.02, 东北 , 简装 ,15, 2005年 , 板塔结合,3, 11个月以前发布,4200000.0,"73,659元/平",近地铁 VR看装修 房本满五年 
燕清源 闹中取静 南向两居 动静分离 随时看房,燕清源,清河,2室1厅 ,118.02, 南 , 简装 ,28, 2005年 , 板塔结合,156, 11个月以前发布,8900000.0,"75,411元/平",VR房源 房本满五年 
强佑府学上院 三卧朝南 业主诚心出售,强佑清河新城府学上院,清河,3室2厅 ,141.05, 东南 , 精装 ,27, 2009年 , 板塔结合,122, 一年前发布,10600000.0,"75,151元/平",近地铁 VR看装修 房本满五年 
清河新城府学上院 满五唯一，精装修,强佑清河新城府学上院,清河,3室1厅 ,138.92, 南 北 , 精装 ,27, 2009年 , 板塔结合,22, 8个月以前发布,11780000.0,"84,798元/平",VR看装修 房本满五年 
621小区  中间位置 中间层 出行方便 安静 通风采光好,621小区,清河,2室1厅 ,76.6, 南 北 , 简装 ,6, 1988年 , 板楼,10, 4个月以前发布,6790000.0,"88,643元/平",近地铁 VR房源 房本满五年 
强佑清河新城府学上院 2室1厅 东,强佑清河新城府学上院,清河,2室1厅 ,88.59, 东 , 其他 ,27, 2009年 , 板塔结合,9, 9个月以前发布,7600000.0,"85,789元/平",近地铁 VR看装修 房本满两年 
强佑府学上院东向 电梯两居 精致装修,强佑清河新城府学上院,清河,2室1厅 ,88.59, 东 , 精装 ,27, 2009年 , 板塔结合,12, 一年前发布,8090000.0,"91,320元/平",近地铁 VR看装修 房本满两年 
强佑清河新城府学上院中高楼层落地飘窗视野开阔,强佑清河新城府学上院,清河,2室1厅 ,63.75, 东南 西北 , 简装 ,27, 2012年 , 板塔结合,13, 4个月以前发布,5500000.0,"86,275元/平",近地铁 VR房源 房本满五年 
宝盛北里三室两卫，南北通透，满五年唯一，中间层边户,宝盛北里,清河,3室1厅 ,124.96, 东 南 北 , 简装 ,6, 2004年 , 板楼,22, 5个月以前发布,9200000.0,"73,624元/平",VR看装修 房本满五年 
加气混凝土厂宿舍  低楼层   采光好,加气混凝土厂宿舍,清河,2室1厅 ,36.1, 南 , 精装 ,6, 1989年 , 板楼,8, 一年前发布,4450000.0,"123,269元/平",近地铁 VR看装修 房本满两年 
满二仅契税，中高层采光视野好，主力户型精装修保持佳,橡树湾二期,清河,2室1厅 ,89.48, 西南 , 精装 ,11, 2009年 , 板塔结合,40, 11个月以前发布,12390000.0,"138,467元/平",近地铁 VR看装修 房本满两年 
儿童福利院家属楼 东西通透两居室 高层视野好,儿童福利院家属楼,清河,2室1厅 ,58.3, 东 西 , 简装 ,6, 1995年 , 板楼,15, 6个月以前发布,4100000.0,"70,326元/平",VR看装修 房本满五年 
此房明厅户型，中间楼层，满五唯一，精装修，无遮挡,毛纺厂南小区,清河,2室1厅 ,70.8, 北 南 , 精装 ,6, 1997年 , 板楼,8, 4个月以前发布,5550000.0,"78,390元/平",近地铁 VR看装修 房本满五年 
橡林郡精装 两居  高楼层  采光视野好,橡林郡,清河,3室2厅 ,119.0, 南 北 , 精装 ,18, 2020年 , 板楼,40, 11个月以前发布,15990000.0,"134,370元/平",VR看装修 房本满两年 
海淀北五环 精装中间楼层三居室 全明格局  诚心卖,阳光南里,清河,3室1厅 ,90.4, 南 西北 北 , 精装 ,6, 1999年 , 板楼,33, 10个月以前发布,7650000.0,"84,624元/平",近地铁 VR房源 房本满五年 
621小区 中间位置 安静舒适 满五年唯一央产房,621小区,清河,2室1厅 ,55.1, 西 北 , 精装 ,6, 1989年 , 塔楼,2, 6个月以前发布,5300000.0,"96,189元/平",近地铁 VR看装修 房本满五年 
永泰园新风景靠谱观景大两居着急卖,永泰园新地标,清河,2室1厅 ,115.04, 西北 , 简装 ,31, 2002年 , 塔楼,19, 9个月以前发布,6750000.0,"58,676元/平",近地铁 VR看装修 房本满两年 
621小区 正规两居室 位置好 视野好 诚意出售,621小区,清河,2室1厅 ,55.8, 东南 , 简装 ,6, 1990年 , 塔楼,5, 一年前发布,5500000.0,"98,567元/平",近地铁 VR看装修 房本满五年 
621小区精装修不临街安静采光好,621小区,清河,3室1厅 ,50.7, 南 西 北 , 其他 ,6, 1988年 , 板楼,23, 一年前发布,6100000.0,"120,316元/平",近地铁 VR看装修 房本满五年 
信息学院家属楼 3室1厅 南 北,信息学院家属楼,清河,3室1厅 ,89.12, 南 北 , 其他 ,6, 2000年 , 板楼,8, 10个月以前发布,7000000.0,"78,546元/平",近地铁 VR看装修 房本满五年 
宝盛里低楼层精装三居室，满五年商品房，看房方便,宝盛里,清河,3室1厅 ,103.9, 东 西 , 精装 ,5, 1998年 , 板楼,32, 7个月以前发布,6300000.0,"60,636元/平",VR房源 房本满五年 
宝盛里小区复式，动静分离三居室，看房方便，业主诚售,宝盛里,清河,3室3厅 ,158.63, 南 北 , 简装 ,6, 2002年 , 板楼,18, 8个月以前发布,8800000.0,"55,476元/平",VR房源 房本满五年 
金隅美和园满五年唯一精装修   带电梯 美和园公园,金隅美和园,清河,1室1厅 ,49.62, 西南 , 简装 ,9, 2008年 , 板楼,10, 6个月以前发布,4890000.0,"98,549元/平",近地铁 VR房源 房本满五年 
清河北京621厂宿舍 两居室 诚意出售,621小区,清河,2室1厅 ,49.5, 西北 , 简装 ,6, 1993年 , 板楼,5, 6个月以前发布,4490000.0,"90,708元/平",近地铁 VR看装修 房本满五年 
清河永泰西里 明厅两居室 中间楼层 双地铁 视野无遮挡,永泰西里,清河,2室1厅 ,71.5, 南 北 , 其他 ,7, 1995年 , 板楼,17, 11个月以前发布,5700000.0,"79,721元/平",近地铁 VR看装修 房本满五年 
新上福美苑两居 户型方正 使用率高 无遮挡采光好,福美苑,清河,2室1厅 ,78.94, 西 北 , 其他 ,21, 2012年 , 板楼,73, 一年前发布,5300000.0,"67,140元/平",近地铁 VR看装修 房本满五年 
阳光南里复式无电梯，面积大单价低，满五年唯一,阳光南里,清河,3室1厅 ,122.0, 南 北 , 其他 ,6, 1996年 , 板楼,63, 6个月以前发布,6200000.0,"50,820元/平",近地铁 VR房源 房本满五年 
清河观林园 电梯板楼 南北通透 双卫三居室 中间楼层,观林园,清河,3室1厅 ,140.43, 南 北 , 其他 ,9, 2008年 , 板楼,486, 一年前发布,12450000.0,"88,657元/平",VR看装修 房本满五年 
海清园 01年电梯房 正规两居室 无遮挡 中间楼层,海清园,清河,2室1厅 ,87.05, 东 北 , 其他 ,18, 2001年 , 塔楼,19, 6个月以前发布,6100000.0,"70,075元/平",近地铁 VR看装修 房本满五年 
永泰东里 低楼层 精装修 可正常贷款,永泰东里,清河,1室1厅 ,44.68, 南 , 精装 ,6, 1996年 , 板楼,10, 7个月以前发布,3700000.0,"82,812元/平",近地铁 VR看装修 房本满两年 
海淀清河满五唯一南北通透次顶层好房，双地铁精装自住,前屯路58号院,清河,2室1厅 ,56.4, 南 北 , 精装 ,6, 1989年 , 板楼,7, 6个月以前发布,4330000.0,"76,774元/平",VR看装修 房本满五年 
永泰西里 2室1厅 东 西,永泰西里,清河,2室1厅 ,60.31, 东 西 , 精装 ,6, 1998年 , 板楼,3, 4个月以前发布,4790000.0,"79,423元/平",近地铁 VR房源 房本满五年 
精装 中间层 南北两居 客厅有窗,毛纺厂南小区,清河,2室1厅 ,54.7, 南 西 北 , 精装 ,6, 1981年 , 板楼,92, 一年前发布,4580000.0,"83,730元/平",近地铁 VR看装修 房本满五年 
此房满五唯一 中间位置 中间楼层 全明格局 南北通透,莱圳家园,清河,2室1厅 ,93.52, 南 西 北 , 精装 ,16, 2012年 , 板楼,26, 5个月以前发布,9800000.0,"104,791元/平",近地铁 VR房源 房本满五年 
满五年唯一，视野很好，采光很好，无遮挡,加气混凝土厂宿舍,清河,2室1厅 ,60.1, 南 北 , 简装 ,6, 1993年 , 板楼,0, 4个月以前发布,4990000.0,"83,029元/平",近地铁 VR看装修 房本满五年 
橡树湾三期 主力西南两居室 中间楼层 采光视野俱佳,橡树湾三期,清河,2室2厅 ,99.93, 西南 , 精装 ,20, 2011年 , 板塔结合,5, 5个月以前发布,12980000.0,"129,891元/平",近地铁 VR看装修 房本满五年 
宝盛里 电梯小两居 中间楼层 满五唯一,宝盛里,清河,2室1厅 ,69.3, 南 北 , 简装 ,9, 1998年 , 板楼,41, 9个月以前发布,4950000.0,"71,429元/平",VR看装修 房本满五年 
金隅美和园 南北向正规一居室 小区中间位置,金隅美和园,清河,1室1厅 ,48.68, 南 北 , 精装 ,9, 2009年 , 板楼,3, 5个月以前发布,4590000.0,"94,290元/平",近地铁 VR房源 房本满两年 
橡树湾三期精装修四居业主诚意出售,橡树湾三期,清河,4室2厅 ,108.68, 东 西 , 简装 ,16, 2011年 , 板塔结合,14, 一年前发布,15280000.0,"140,597元/平",近地铁 VR看装修 房本满五年 
永泰园 全南向两居，南北也通透，精装,永泰园,清河,2室1厅 ,57.3, 南 北 , 精装 ,5, 1993年 , 板楼,102, 11个月以前发布,3990000.0,"69,634元/平",近地铁 VR房源 房本满两年 随时看房 
海淀 清河 机械学院 南北二居 精装修 1988年的楼龄,北京机械学院家属楼,清河,2室1厅 ,54.3, 南 北 , 精装 ,5, 1981年 , 板楼,22, 一年前发布,4450000.0,"81,953元/平",近地铁 VR看装修 房本满两年 
邮局家属楼 南北通透 格局方正 诚意出售,邮局家属楼,清河,2室1厅 ,69.4, 南 北 东 , 其他 ,6, 1986年 , 板楼,5, 11个月以前发布,4890000.0,"70,462元/平",近地铁 VR房源 房本满五年 随时看房 
前屯路57号院 精装修两居室，南北通透,前屯路57号院,清河,2室1厅 ,54.2, 南 北 , 简装 ,6, 1980年 , 板楼,17, 10个月以前发布,3600000.0,"66,421元/平",近地铁 VR看装修 房本满两年 
观景园两居室，精装修，南北通透，位置好。,观景园,清河,2室1厅 ,91.44, 南 北 , 精装 ,6, 2011年 , 板楼,94, 一年前发布,8150000.0,"89,130元/平",VR看装修 房本满五年 随时看房 
宝盛里观澳园，南北通透两居室，视野开阔，看房随时,观澳园,清河,2室1厅 ,99.14, 南 北 , 其他 ,5, 2005年 , 板楼,85, 一年前发布,7780000.0,"78,475元/平",VR看装修 房本满两年 随时看房 
砂轮厂宿舍 正规三居室 三面采光,砂轮厂宿舍,清河,3室1厅 ,78.41, 南 西 北 , 简装 ,7, 1999年 , 板楼,26, 10个月以前发布,5500000.0,"70,145元/平",VR看装修 房本满五年 随时看房 
清河供电局宿舍 南北通透两居室  中间楼层  户型方正,供电局宿舍家属楼,清河,2室2厅 ,67.68, 南 北 , 简装 ,6, 1999年 , 板楼,50, 一年前发布,5980000.0,"88,357元/平",近地铁 VR看装修 房本满五年 随时看房 
主推观景园中间楼层满五年唯一靠谱签约,观景园,清河,2室1厅 ,90.44, 南 北 , 简装 ,6, 2008年 , 板楼,29, 6个月以前发布,8250000.0,"91,221元/平",VR房源 房本满五年 随时看房 
永泰东里，5层，南北向 明厅 满五年唯一 永泰庄地铁,永泰东里,清河,2室1厅 ,62.39, 南 北 , 其他 ,6, 1999年 , 板楼,6, 7个月以前发布,4600000.0,"73,730元/平",近地铁 VR看装修 房本满五年 
橡树湾旁 安静两居 满五唯一 电梯房随时看,力度家园,清河,2室1厅 ,77.23, 西 北 , 简装 ,21, 2004年 , 板塔结合,115, 4个月以前发布,5850000.0,"75,748元/平",近地铁 VR房源 房本满五年 
清缘东里正规南向两居，带电梯，户型方正，落地阳台,清缘东里,清河,2室1厅 ,87.66, 南 , 简装 ,19, 2003年 , 塔楼,46, 8个月以前发布,7000000.0,"79,854元/平",近地铁 VR看装修 房本满五年 随时看房 
世华龙樾一期西区2013年商品房， 满五唯一，可贷款。,世华龙樾一期西区,清河,2室1厅 ,75.83, 南 , 简装 ,18, 2014年 , 板楼,19, 7个月以前发布,7500000.0,"98,906元/平",VR看装修 房本满两年 随时看房 
毛纺厂西小区+双地铁+五彩城配套好,毛纺厂西小区,清河,2室1厅 ,54.6, 南 北 , 毛坯 ,5, 1982年 , 板楼,16, 4个月以前发布,3990000.0,"73,077元/平",VR看装修 房本满五年 随时看房 
海淀清河宝盛里 中间位置南向一居 小区有公立幼儿园,宝盛里,清河,1室1厅 ,53.09, 南 , 其他 ,6, 2000年 , 板楼,4, 5个月以前发布,3900000.0,"73,461元/平",VR看装修 房本满两年 随时看房 
2011年房子，满五年 精装修，4层，看房随时，诚心出售,观景园,清河,2室1厅 ,91.44, 南 北 , 精装 ,6, 2011年 , 板楼,32, 7个月以前发布,7350000.0,"80,381元/平",VR看装修 房本满五年 随时看房 
两个阳台都朝南 格局方正 永泰东里，中间层满五唯一,永泰东里,清河,2室1厅 ,64.57, 南 北 , 简装 ,6, 1996年 , 板楼,26, 一年前发布,5060000.0,"78,365元/平",VR看装修 房本满五年 随时看房 
莱圳家园 中间层 南向正规两居 采光好,莱圳家园,清河,2室1厅 ,83.06, 南 , 简装 ,19, 2007年 , 板塔结合,56, 8个月以前发布,8300000.0,"99,928元/平",近地铁 VR看装修 房本满五年 
燕清源 西南北两居 近地铁 精装修 全明格局 诚意出售,燕清源,清河,2室1厅 ,104.23, 西 南 北 , 精装 ,28, 2005年 , 板塔结合,12, 5个月以前发布,8500000.0,"81,551元/平",VR房源 房本满五年 
海清园 1室1厅 东 北,海清园,清河,1室1厅 ,58.4, 东 北 , 简装 ,18, 2001年 , 塔楼,24, 5个月以前发布,3850000.0,"65,925元/平",近地铁 VR看装修 房本满五年 
