麓景嘉园北里 2室1厅 东 西,麓景嘉园北里,海淀其它,2室1厅 ,84.71, 东 西 , 精装 ,6, 2015年 , 板楼,32, 4个月以前发布,3000000.0,"35,415元/平",VR看装修 房本满五年 随时看房 
学府树家园四区 正对小区花园  视野彩光好 安静不临街,橡树湾四期,清河,3室2厅 ,177.64, 南 北 , 精装 ,25, 2014年 , 板塔结合,53, 一年前发布,26650000.0,"150,023元/平",VR看装修 房本满两年 
清缘里中区满五唯一 电梯 双层单独分开入户 临河观景,清缘里中区,清河,4室2厅 ,146.68, 南 北 , 精装 ,10, 1998年 , 板楼,60, 4个月以前发布,7680000.0,"52,359元/平",VR房源 房本满五年 随时看房 
万泉新新家园 官邸大复式 中间位置 车储齐全 看房随时,万泉新新家园,万柳,4室3厅 ,270.39, 南 北 , 精装 ,5, 2001年 , 板楼,29, 一年前发布,46800000.0,"173,084元/平",近地铁 VR房源 房本满五年 随时看房 
海淀北部新区叠拼社区满五唯一看房方便迷你墅,北辰香麓,海淀北部新区,4室2厅 ,237.11, 南 北 , 简装 ,4, 2010年 , 板楼,25, 10个月以前发布,13700000.0,"57,780元/平",VR房源 房本满五年 随时看房 
西三环 正规东南三居 采光十足 可观紫竹院公园全景色,人济山庄,紫竹桥,3室2厅 ,155.41, 东南 , 简装 ,28, 2001年 , 塔楼,188, 一年前发布,19980000.0,"128,564元/平",近地铁 VR看装修 房本满五年 随时看房 
永泰东里 二层，位置好，东西南采光好，有钥匙 方便看,永泰东里,清河,3室1厅 ,69.64, 东 南 西 , 毛坯 ,6, 1996年 , 板楼,80, 一年前发布,4400000.0,"63,183元/平",近地铁 VR看装修 房本满两年 随时看房 
全新房一天未住  双明卫 两个卧室朝南 客厅朝南,如园北区,西北旺,4室3厅 ,250.64, 东 南 北 , 精装 ,10, 2018年 , 板楼,57, 一年前发布,37100000.0,"148,022元/平",近地铁 VR看装修 房本满五年 随时看房 
金雅园南区满五年四居 南北通透 采光很好,金雅园南区,四季青,3室2厅 ,160.59, 南 北 , 简装 ,7, 2002年 , 板楼,12, 3个月以前发布,14500000.0,"90,293元/平",近地铁 VR看装修 房本满五年 
欣赏本房：130平大三居 可双卫 8层洋房2001年商品房,静淑东里,学院路,3室1厅 ,129.74, 东 西 , 其他 ,8, 2001年 , 板楼,35, 5个月以前发布,9000000.0,"69,370元/平",近地铁 VR看装修 房本满五年 随时看房 
富力桃园C区眼镜三居，采光好位置安静，业主诚心出售,富力桃园C区,西三旗,3室2厅 ,152.95, 南 北 , 精装 ,18, 2009年 , 板塔结合,37, 6个月以前发布,13350000.0,"87,284元/平",VR看装修 房本满五年 随时看房 
枫丹丽舍 满五唯一 边户两居 位置不临街,枫丹丽舍,西三旗,2室1厅 ,96.87, 南 北 , 简装 ,5, 2003年 , 板楼,68, 11个月以前发布,7500000.0,"77,424元/平",VR看装修 房本满五年 随时看房 
晨月园南向一居 全新装修 园区中间不临街 次顶层,晨月园,世纪城,1室1厅 ,57.25, 南 , 精装 ,17, 2007年 , 塔楼,4, 3个月以前发布,7250000.0,"126,638元/平",VR房源 房本满五年 随时看房 
车道沟南里 南向一居室 可当两居室 采光视野好 精装修,车道沟南里,紫竹桥,1室1厅 ,58.6, 南 , 简装 ,17, 1985年 , 塔楼,14, 3个月以前发布,4950000.0,"84,471元/平",近地铁 VR房源 房本满五年 
满五年 诚心出售 随时可以签约 户型通透,富力桃园B区,西三旗,2室1厅 ,87.37, 南 北 , 精装 ,11, 2007年 , 板楼,36, 3个月以前发布,7280000.0,"83,324元/平",VR看装修 房本满五年 随时看房 
三里河路5号院正规三居室  南北通透  楼层好,三里河路5号院,甘家口,3室1厅 ,60.55, 南 北 , 简装 ,6, 1983年 , 板楼,38, 3个月以前发布,6500000.0,"107,350元/平",近地铁 VR看装修 房本满五年 
蓟门里北区两居室 采光好 满五唯一 精装修 南北通透,蓟门北里,知春路,2室1厅 ,58.3, 南 北 , 精装 ,6, 1986年 , 板楼,40, 3个月以前发布,4950000.0,"84,906元/平",近地铁 VR看装修 房本满五年 
次新房，基本没有住过，精装修，观景房，老客户房源,橡树湾四期,清河,2室2厅 ,100.41, 东南 , 精装 ,20, 2013年 , 板楼,13, 3个月以前发布,14000000.0,"139,429元/平",VR看装修 房本满五年 
德胜门西大街甲5号 精装修两居室,德胜门西大街甲5号,小西天,2室1厅 ,55.5, 南 北 , 精装 ,6, 1983年 , 板楼,38, 3个月以前发布,4990000.0,"89,910元/平",VR房源 房本满五年 
皂君庙品质商品房社区 鑫雅苑 管理好 三个花园车位多,鑫雅苑,皂君庙,2室2厅 ,107.31, 西北 , 简装 ,20, 2000年 , 塔楼,8, 2个月以前发布,8500000.0,"79,210元/平",VR房源 房本满五年 
紫竹院中间层南北通透不临街随时看房,紫竹院南路20号院,紫竹桥,3室0厅 ,60.8, 南 北 , 毛坯 ,6, 1994年 , 板楼,46, 1个月以前发布,5700000.0,"93,750元/平",VR房源 随时看房 
静淑苑 2室1厅 西南,静淑苑,学院路,2室1厅 ,82.3, 西南 , 简装 ,18, 1996年 , 塔楼,8,6,7600000.0,"92,346元/平",近地铁 VR看装修 房本满五年 
海淀玉泉路低密度板楼社区通透好适合贷款,田村山南路20号院,玉泉路,2室1厅 ,63.65, 东 西 , 精装 ,6, 1989年 , 板楼,24,18,3500000.0,"54,989元/平",VR看装修 
双榆树北里 2室1厅 南,双榆树北里,双榆树,2室1厅 ,38.5, 南 , 精装 ,6, 1983年 , 板楼,5, 1个月以前发布,4490000.0,"116,624元/平",近地铁 VR看装修 房本满五年 随时看房 
百旺府高楼层电梯两居，户型方正，采光充足，靠谱出售,冠城大通百旺府,海淀北部新区,2室2厅 ,99.14, 东 南 , 简装 ,11, 2007年 , 塔楼,21,6,6360000.0,"64,152元/平",VR看装修 房本满五年 随时看房 
西三环，海淀产权，莲花小区  无遮挡  采光好,莲花小区,六里桥,2室1厅 ,112.0, 南 西 , 简装 ,28, 2004年 , 塔楼,63, 3个月以前发布,6860000.0,"61,250元/平",近地铁 VR房源 随时看房 
苏州桥 小南庄大四居  户型方正 业主诚心出售,小南庄社区,苏州桥,4室2厅 ,168.86, 西南 北 , 简装 ,18, 1997年 , 塔楼,65, 3个月以前发布,12380000.0,"73,316元/平",近地铁 VR房源 房本满两年 
玉海园五里便宜大两居，满五唯一商品房,玉海园五里,玉泉路,2室1厅 ,82.0, 东 西 , 简装 ,6, 1998年 , 板楼,9,4,5880000.0,"71,708元/平",VR看装修 房本满五年 
强佑府学上院 精致装修电梯小户型 诚售中,强佑清河新城府学上院,清河,2室1厅 ,62.55, 北 , 精装 ,27, 2009年 , 板塔结合,47, 1个月以前发布,4130000.0,"66,028元/平",VR房源 随时看房 
魏公村小区 不临街 南北通透 中楼层 满五唯一 小三居,魏公村小区,魏公村,3室1厅 ,56.9, 东 南 北 , 简装 ,5, 1984年 , 板楼,82, 2个月以前发布,5250000.0,"92,268元/平",近地铁 VR房源 
乐府江南 经典C户型三居 满五唯一 楼层好,乐府江南,田村,3室2厅 ,128.93, 东南 , 精装 ,9, 2005年 , 板塔结合,11,9,13300000.0,"103,157元/平",VR房源 房本满五年 
公主坟，翠微北里，南北两居室，随时可看。,翠微北里,公主坟,2室1厅 ,58.2, 南 北 , 毛坯 ,6, 1985年 , 板楼,12,14,5460000.0,"93,815元/平",VR房源 房本满五年 随时看房 
郦城二区三居 三面采光 三个阳台 视野开阔 南北通透,郦城二区,四季青,3室1厅 ,122.77, 东 南 北 , 简装 ,11, 2004年 , 板楼,18,11,13650000.0,"111,184元/平",VR房源 房本满五年 
02年 落地飘窗 两卫，楼层高，采光好，户型方正,今典花园,小西天,3室2厅 ,113.15, 南 , 精装 ,21, 2002年 , 塔楼,34, 2个月以前发布,11400000.0,"100,752元/平",VR看装修 房本满五年 随时看房 
文成杰座电梯 落地窗优质大两居,文成杰座,学院路,2室1厅 ,97.27, 西 , 精装 ,20, 2006年 , 板塔结合,29,8,7900000.0,"81,218元/平",VR房源 房本满五年 随时看房 
牡丹园北影小区南北两居 有电梯北侧直接对外地铁公园,北影小区,北太平庄,2室1厅 ,64.3, 南 北 , 简装 ,12, 1996年 , 板楼,31, 1个月以前发布,6680000.0,"103,889元/平",近地铁 VR看装修 房本满五年 随时看房 
中国科学院  东南小区院内 满五年唯一商品房 有钥匙,东南小区,中关村,2室1厅 ,57.3, 南 北 , 简装 ,6, 1992年 , 板楼,8, 2个月以前发布,6990000.0,"121,990元/平",近地铁 VR看装修 房本满五年 随时看房 
三环内，南北通透一居室，不临街，中间层,首体宿舍,紫竹桥,1室1厅 ,37.5, 南 北 , 简装 ,6, 1988年 , 板楼,11,8,3300000.0,"88,000元/平",VR看装修 房本满两年 随时看房 
总监推荐  满五年唯一单位分房 小区中间不临街,玉海园五里,玉泉路,2室2厅 ,82.0, 南 北 , 简装 ,6, 1998年 , 板楼,35, 1个月以前发布,6690000.0,"81,586元/平",VR看装修 
莱圳家园大二居97，满五年唯一，南北通透采光视野好，,莱圳家园,清河,3室1厅 ,97.86, 南 北 , 简装 ,19, 2009年 , 板塔结合,121, 3个月以前发布,8300000.0,"84,816元/平",近地铁 VR看装修 房本满五年 随时看房 
落地飘窗 精装 格局方正 户型无浪费 楼龄新 有物业,今典花园,小西天,2室1厅 ,76.83, 西 北 , 精装 ,25, 2001年 , 塔楼,25, 2个月以前发布,7100000.0,"92,412元/平",VR房源 房本满五年 
稻香园西里 新上 航天部家属楼  电梯南向三居  管理好,稻香园西里,苏州桥,3室1厅 ,82.2, 南 , 简装 ,18, 1987年 , 塔楼,5, 2个月以前发布,8750000.0,"106,448元/平",VR房源 随时看房 
新建宫门21号院 全南向方正格局两居室 视野好,颐和园宿舍,颐和园,2室1厅 ,59.2, 南 , 简装 ,4, 2000年 , 板楼,17, 1个月以前发布,4990000.0,"84,291元/平",VR房源 随时看房 
北蜂窝中路2号院 精装一居 无遮挡,北蜂窝中路2号院,军博,1室1厅 ,44.4, 南 , 精装 ,7, 1987年 , 板楼,5,7,4050000.0,"91,217元/平",VR房源 房本满两年 
西三环边 铁东小区 南向一居室 采光好,铁东小区,军博,1室1厅 ,44.1, 南 , 精装 ,6, 1998年 , 板楼,21, 2个月以前发布,4280000.0,"97,053元/平",VR看装修 随时看房 
中关村双榆树 板楼三层 南北全明三居 单位分房 靠谱卖,双榆树西里,双榆树,3室1厅 ,72.2, 东 南 北 , 简装 ,6, 1995年 , 板楼,30, 2个月以前发布,8200000.0,"113,574元/平",近地铁 VR看装修 
小南庄好房，带客厅户型，院里好停车,小南庄社区,苏州桥,2室1厅 ,61.3, 东 西 , 精装 ,6, 1994年 , 板楼,5, 2个月以前发布,5880000.0,"95,922元/平",近地铁 VR房源 房本满五年 
房子满五年，家庭名下一套，中间位置，随时签约,百旺茉莉园,西北旺,3室2厅 ,124.97, 南 , 精装 ,9, 2008年 , 塔楼,68, 7个月以前发布,10990000.0,"87,942元/平",近地铁 VR看装修 房本满五年 随时看房 
智学苑 中间楼层大三居 双卫 格局方正 满五唯一,智学苑,西二旗,3室2厅 ,126.2, 东 南 北 , 简装 ,24, 2002年 , 塔楼,29, 6个月以前发布,7550000.0,"59,826元/平",近地铁 VR看装修 房本满五年 
上地佳园 眼睛户型三居室 位置好 采光好,上地佳园,上地,3室2厅 ,149.67, 南 北 , 精装 ,17, 2004年 , 板楼,23, 5个月以前发布,19200000.0,"128,283元/平",近地铁 VR房源 房本满五年 
《圆明园褐石小区》 精装南北复式四居 诚售看房方便,褐石,五道口,4室2厅 ,283.16, 南 北 , 精装 ,5, 板楼 , 联排别墅 ,38, 9个月以前发布,36000000.0,"127,137元/平",VR房源 房本满两年 
雪梨澳乡B区类独栋边户地上两层三居室,雪梨澳乡B区,西三旗,3室2厅 ,180.34, 南 北 , 精装 ,2, 2003年 , 板楼,46, 一年前发布,22500000.0,"124,765元/平",VR房源 房本满五年 
南向大窗，电梯直达，诚心出售。业主自住,新康园,西三旗,3室1厅 ,173.08, 南 北 , 简装 ,24, 2002年 , 塔楼,58, 一年前发布,8780000.0,"50,728元/平",近地铁 VR房源 房本满五年 
上地西里  复式  五居室 采光视野开阔,上地西里,上地,5室2厅 ,206.83, 南 北 , 简装 ,7, 2000年 , 板楼,33, 10个月以前发布,15000000.0,"72,524元/平",VR房源 房本满五年 
可观西山山脉、满五唯一、有产权车位、诚意出售,万科西山庭院,马连洼,3室2厅 ,183.58, 南 北 , 精装 ,5, 2004年 , 板楼,57, 一年前发布,17600000.0,"95,872元/平",近地铁 VR看装修 房本满五年 
世纪城远大园三区 东边户四居室 全明眼镜户型 不临街,远大园三区,世纪城,4室2厅 ,161.39, 南 北 , 精装 ,14, 2001年 , 板楼,20, 5个月以前发布,21500000.0,"133,218元/平",近地铁 VR看装修 房本满五年 
莱圳家园 南北通透三居 视野好采光好,莱圳家园,清河,3室2厅 ,114.53, 南 北 , 简装 ,18, 2009年 , 板楼,62, 5个月以前发布,11000000.0,"96,045元/平",VR看装修 房本满五年 
橡树湾五期（萬橡府）观景高层四居 开发商精装,橡树湾五期,清河,4室2厅 ,238.69, 南 北 , 精装 ,22, 2018年 , 板楼,27, 5个月以前发布,35890000.0,"150,363元/平",VR看装修 房本满五年 
上地东里 双卧朝南三居室 户型少出房少随时交易,上地东里,上地,3室2厅 ,126.11, 南 北 , 简装 ,6, 1996年 , 板楼,30, 10个月以前发布,13980000.0,"110,856元/平",近地铁 VR看装修 房本满五年 
天秀花园古月园 精装不临街 可当三居,天秀花园古月园,马连洼,2室2厅 ,129.78, 南 北 , 精装 ,7, 2003年 , 板楼,38, 10个月以前发布,12750000.0,"98,244元/平",VR看装修 房本满五年 
远大园四区 高楼层四居室 业主诚售 看房方便,远大园四区,世纪城,4室1厅 ,202.54, 东南 西北 , 精装 ,16, 2000年 , 塔楼,28, 一年前发布,19500000.0,"96,278元/平",近地铁 VR房源 房本满五年 
都市网景 户型方正，视野采光很不错 人车分流管理好,都市网景,双榆树,3室2厅 ,149.28, 东南 , 其他 ,24, 2000年 , 塔楼,29, 7个月以前发布,15980000.0,"107,048元/平",VR看装修 房本满五年 
海淀西四环，总高6层，电梯花园洋房，人车分流社区,汤泉逸墅,四季青,4室2厅 ,183.93, 南 北 , 精装 ,7, 2004年 , 板楼,29, 3个月以前发布,23800000.0,"129,398元/平",VR看装修 房本满五年 
96年建成通透一居室 中楼层 随时可看 诚意出售,安宁里,安宁庄,1室1厅 ,42.17, 东南 西北 , 简装 ,6, 1995年 , 板楼,5, 3个月以前发布,3380000.0,"80,152元/平",VR看装修 房本满两年 
中关村南北三居有客厅 带电梯 满五年央产房 靠谱签约,中关村南三街,中关村,3室1厅 ,75.2, 南 北 , 简装 ,12, 1993年 , 板塔结合,80, 一年前发布,9600000.0,"127,660元/平",VR看装修 房本满五年 
南北两居室 一居室的面积可以当做两居半来用,恩济里小区,定慧寺,2室1厅 ,43.64, 南 北 , 简装 ,6, 1989年 , 板楼,15,7,3990000.0,"91,430元/平",VR房源 房本满五年 随时看房 
航天桥 花园桥 工商大学 核二院  首师大 电梯三居,工商大学,甘家口,3室1厅 ,93.86, 西南 , 毛坯 ,16, 1998年 , 塔楼,33, 1个月以前发布,10400000.0,"110,804元/平",近地铁 VR看装修 房本满五年 
阜北小区 南北2居 低楼层 满五年唯一,阜北小区,甘家口,2室1厅 ,57.65, 南 北 , 简装 ,5, 1976年 , 板楼,27,7,4800000.0,"83,262元/平",近地铁 VR看装修 房本满五年 
车公庄西路16号院6/9号线白石桥南50米距离随时签约,车公庄西路16号院,甘家口,2室1厅 ,51.0, 南 , 精装 ,6, 1980年 , 板楼,37, 1个月以前发布,4300000.0,"84,314元/平",近地铁 VR房源 随时看房 
远大园五区 3室2厅 南 西,远大园五区,世纪城,3室2厅 ,147.21, 南 西 , 精装 ,16, 2001年 , 塔楼,12,8,15100000.0,"102,575元/平",VR看装修 房本满五年 
业主诚售 智学苑西南朝向三居室 中间楼层,智学苑,西二旗,3室2厅 ,128.21, 南 西 , 精装 ,24, 2002年 , 塔楼,14,7,7760000.0,"60,526元/平",近地铁 VR看装修 
龙翔路小区 中间层南北向 精装修两居 去年刚做的改造,龙翔路小区,牡丹园,2室1厅 ,63.2, 南 北 , 精装 ,6, 1994年 , 板楼,41,12,5500000.0,"87,026元/平",近地铁 VR房源 房本满五年 
金沟河12号院 中科院玉泉 随时看房 总价合适 随时签约,金沟河12号院,玉泉路,2室1厅 ,58.2, 南 北 , 简装 ,6, 1990年 , 板楼,9,8,4100000.0,"70,447元/平",VR房源 房本满五年 
上林溪新上两居 朝南向 中高楼层 正对花园 急售,上林溪,安宁庄,2室1厅 ,92.71, 南 , 精装 ,21, 2012年 , 板塔结合,26,7,8290000.0,"89,419元/平",VR看装修 
优质好房 南北通透 金三层 位置好 有车位 看房方便,远大园四区,世纪城,3室1厅 ,151.5, 南 北 , 精装 ,7, 2000年 , 板楼,27, 2个月以前发布,17900000.0,"118,152元/平",近地铁 VR房源 房本满五年 
总监推荐房源 满五年唯一 南北通透两居室 中间楼层,永泰东里,清河,2室1厅 ,59.89, 南 北 , 简装 ,6, 1994年 , 板楼,36,17,3980000.0,"66,456元/平",近地铁 VR看装修 房本满五年 
永泰明厅两居，中间层，满5唯一，已收钥匙，随时看房,永泰东里,清河,2室1厅 ,64.76, 南 北 , 简装 ,6, 1997年 , 板楼,24, 2个月以前发布,4600000.0,"71,032元/平",近地铁 VR房源 房本满五年 随时看房 
金沟河3号院 纯南向两居室 户型方正全明 诚心出售,金沟河3号院,五棵松,2室1厅 ,54.0, 南 , 简装 ,6, 1987年 , 板楼,5,2,3850000.0,"71,297元/平",VR房源 房本满五年 随时看房 
2012年商品房品质社区 长河湾三期小户型 环境好配套全,长河湾,西直门,1室1厅 ,47.18, 北 , 简装 ,5, 2012年 , 板楼,15, 1个月以前发布,3550000.0,"75,244元/平",近地铁 VR房源 房本满两年 
带电梯  三层 南北通透 诚心出售,建材城东一里,西三旗,2室1厅 ,59.88, 南 北 , 简装 ,7, 1996年 , 板楼,11, 2个月以前发布,3650000.0,"60,956元/平",VR看装修 房本满五年 
海淀区 上地十街1号院 辉煌国际 北向 开间,辉煌国际,上地,1房间1卫 ,45.56, 北 , 精装 ,23, 2007年 , 塔楼,15, 6个月以前发布,1175000.0,"25,791元/平",近地铁 房本满五年 
西山国际城 1室1厅 西,西山国际城,田村,2房间1卫 ,33.31, 西 , 简装 ,6, 2015年 , 塔楼,0,6,1880000.0,"56,440元/平",近地铁 房本满五年 随时看房 
京投银泰琨御府 西区 次顶层 南向 商办类 诚意出售,京投银泰琨御府,四季青,1房间1卫 ,43.07, 南 , 精装 ,10, 2015年 , 板塔结合,2,8,2300000.0,"53,402元/平",近地铁 房本满五年 随时看房 
南北通透，近地铁，交通便利，直观花园,怡美家园,上地,3室1厅 ,117.63, 南 北 , 精装 ,10, 2002年 , 板楼,17, 3个月以前发布,9970000.0,"84,758元/平",近地铁 VR房源 房本满五年 随时看房 
16号线农大家属院，小区中间不临街，中间层，采光好,圆明园西路3号院,马连洼,2室1厅 ,55.2, 南 , 精装 ,5, 1998年 , 板楼,42, 3个月以前发布,4700000.0,"85,145元/平",近地铁 VR房源 房本满五年 随时看房 
学院路14号院小区门口地铁户型好全南向两居室随时可看,学院路14号院,学院路,2室1厅 ,53.3, 南 , 精装 ,5, 1977年 , 板楼,29, 3个月以前发布,4180000.0,"78,425元/平",近地铁 VR房源 房本满两年 随时看房 
玉泉，满两年原网签467万，南北三居室，看房方便,玉海园五里,玉泉路,3室1厅 ,83.21, 南 北 , 精装 ,6, 1998年 , 板楼,40, 3个月以前发布,6480000.0,"77,876元/平",VR房源 房本满两年 随时看房 
秋露园南向一居室户型方正小区中间位置精装修,秋露园,西北旺,1室1厅 ,55.69, 南 , 精装 ,6, 2004年 , 板楼,30, 3个月以前发布,4550000.0,"81,703元/平",近地铁 VR房源 房本满两年 随时看房 
紫竹桥中海雅园 西南北3居 视野好 满五年唯一 诚心卖,中海雅园,紫竹桥,3室2厅 ,154.23, 西南 北 , 精装 ,19, 2000年 , 塔楼,43, 3个月以前发布,14000000.0,"90,774元/平",VR房源 房本满五年 随时看房 
城华园国知局福利房，全明格局，满五唯一，电梯直达,城华园,学院路,2室1厅 ,87.45, 西北 , 精装 ,16, 1997年 , 塔楼,7, 3个月以前发布,7200000.0,"82,333元/平",近地铁 VR房源 房本满五年 随时看房 
满五年唯一央产 视野开阔 没有遮挡,知春里,双榆树,2室1厅 ,61.2, 南 北 , 精装 ,6, 1984年 , 板楼,15, 4个月以前发布,6200000.0,"101,308元/平",VR看装修 房本满五年 随时看房 
五棵松东南，层高2.8米今日家园商品房一居，看房方便,今日家园,五棵松,1室1厅 ,64.16, 西北 , 精装 ,24, 2001年 , 塔楼,11, 4个月以前发布,5500000.0,"85,724元/平",VR看装修 房本满五年 随时看房 
牡丹园西里19号10号双轨交汇高楼层正对小区花园,牡丹园西里,牡丹园,2室1厅 ,66.0, 西南 , 简装 ,16, 1992年 , 塔楼,25, 3个月以前发布,5800000.0,"87,879元/平",近地铁 VR看装修 房本满两年 随时看房 
玉海园二里园中园高楼层满五年唯一商品房诚心出售,玉海园二里,玉泉路,3室1厅 ,130.38, 东北 南 , 精装 ,11, 2000年 , 板塔结合,19, 5个月以前发布,10450000.0,"80,151元/平",VR看装修 房本满五年 随时看房 
翠微中里，小区中间位置，中房家属楼，出行方便,翠微中里,公主坟,2室2厅 ,57.6, 南 , 精装 ,6, 1986年 , 板楼,28, 5个月以前发布,5560000.0,"96,528元/平",近地铁 VR看装修 房本满两年 随时看房 
强佑清河新城府学上院 南向开间 全明格局 次新房,强佑清河新城府学上院,清河,1室0厅 ,42.35, 西南 , 精装 ,18, 2020年 , 板塔结合,34, 3个月以前发布,3650000.0,"86,187元/平",近地铁 VR看装修 
强佑清河新城府学上院 次新房 精装修 南北通透 位置好,强佑清河新城府学上院,清河,3室1厅 ,122.13, 南 北 , 精装 ,24, 2020年 , 板塔结合,33, 4个月以前发布,9800000.0,"80,243元/平",近地铁 VR看装修 
海淀清河陶瓷厂宿舍，小米旁边，满五年唯一（公）急售,陶瓷厂宿舍,安宁庄,2室1厅 ,53.3, 南 , 简装 ,5, 1980年 , 板楼,32, 4个月以前发布,3380000.0,"63,415元/平",VR看装修 随时看房 
玉渊潭北侧 6/9/16号线三条地铁 楼龄新电梯直达,甘家口小区,甘家口,1室1厅 ,43.0, 西南 , 精装 ,12, 1994年 , 塔楼,72, 3个月以前发布,3650000.0,"84,884元/平",近地铁 VR看装修 房本满五年 随时看房 
北京印象，南北四居室，格局方正，看房随时,北京印象,定慧寺,4室2厅 ,215.11, 南 西 北 , 简装 ,12, 2003年 , 板塔结合,144, 一年前发布,16000000.0,"74,381元/平",近地铁 VR看装修 
西山公馆三居2012年一层可以种花草人车分流低密度,西山公馆,西北旺,3室1厅 ,131.84, 东 西 , 精装 ,7, 2012年 , 板楼,107, 一年前发布,11390000.0,"86,393元/平",VR看装修 
满五年当时单位分的房子，西南朝向，业主诚心出售,苏州街77号院,苏州桥,1室1厅 ,39.5, 西南 , 其他 ,6, 1989年 , 板楼,4, 5个月以前发布,4490000.0,"113,671元/平",近地铁 VR看装修 房本满五年 
锦秋知春 高层一居 视野好 无遮挡 通透明亮,锦秋知春,知春路,1室1厅 ,74.64, 北 , 简装 ,26, 2002年 , 塔楼,12, 8个月以前发布,8200000.0,"109,861元/平",近地铁 VR看装修 房本满五年 
安宁佳园  优质大一居  中间楼层  诚心出售,安宁佳园,安宁庄,1室1厅 ,54.54, 西北 , 简装 ,18, 2007年 , 塔楼,16, 11个月以前发布,4550000.0,"83,426元/平",VR房源 房本满五年 
北蜂窝63号院 精装修 满五年 随时签约 小区刚改造,北蜂窝63号院,军博,2室1厅 ,54.51, 东 , 精装 ,6, 1986年 , 板楼,43, 一年前发布,5380000.0,"98,698元/平",VR房源 房本满五年 
大柳树甲17号院，满5年，南向一居室，业主自住,大柳树甲17号院,白石桥,1室1厅 ,38.9, 南 , 简装 ,5, 1983年 , 板楼,3, 7个月以前发布,4100000.0,"105,399元/平",VR看装修 房本满五年 
西直门 红联南村45号院 三居 满五唯一  诚心出售,红联南村45号院,小西天,3室1厅 ,57.0, 东 西 , 精装 ,5, 1984年 , 板楼,18, 7个月以前发布,5180000.0,"90,878元/平",VR房源 房本满两年 
今典花园 人车分流 满五年 带电梯高层精装修诚意出售,今典花园,小西天,2室1厅 ,72.82, 东北 , 精装 ,21, 2002年 , 塔楼,23, 6个月以前发布,7200000.0,"98,874元/平",VR房源 房本满五年 
蓟门里东区 南北通透两居室 精装修 看房提前预约,蓟门东里,知春路,2室1厅 ,57.1, 南 北 , 精装 ,15, 1987年 , 板楼,13, 8个月以前发布,5280000.0,"92,470元/平",近地铁 VR看装修 房本满五年 
裕禧隆园 中楼层 朝南一居 全明格局 看房方便,裕隆新村,马连洼,1室1厅 ,64.05, 南 , 精装 ,6, 2009年 , 板楼,1, 4个月以前发布,5650000.0,"88,213元/平",VR看装修 房本满五年 随时看房 
上地东里 3室1厅 南 北,上地东里,上地,3室1厅 ,73.6, 南 北 , 简装 ,6, 1996年 , 板楼,26, 一年前发布,10360000.0,"140,761元/平",近地铁 VR房源 房本满五年 随时看房 
上地东里 3室1厅 南 北,上地东里,上地,3室1厅 ,70.44, 南 北 , 简装 ,6, 1993年 , 板楼,29, 5个月以前发布,10250000.0,"145,514元/平",近地铁 VR看装修 房本满两年 随时看房 
眼睛两居室，业主随时签约，看房子提前预约,富力桃园C区,西三旗,2室1厅 ,91.16, 南 , 精装 ,20, 2010年 , 板塔结合,19, 3个月以前发布,7450000.0,"81,725元/平",VR看装修 房本满五年 随时看房 
永定路19号院南北两居室精装修诚心出售,永定路19号院,五棵松,2室1厅 ,58.0, 南 西 北 , 精装 ,6, 1987年 , 板楼,11, 4个月以前发布,4350000.0,"75,000元/平",VR房源 房本满五年 随时看房 
知春东里低楼层精装南北通透三居,知春东里,双榆树,3室1厅 ,68.9, 南 北 , 精装 ,6, 1988年 , 板楼,47, 一年前发布,8600000.0,"124,819元/平",VR看装修 房本满两年 随时看房 
吴家村路10号院  南北通透三居 板楼户型好,吴家村路10号院,六里桥,3室2厅 ,107.16, 南 北 , 简装 ,6, 1996年 , 板楼,18, 5个月以前发布,6580000.0,"61,404元/平",VR看装修 房本满五年 随时看房 
金雅园全南朝向两居室，位置很好,金雅园南区,四季青,2室1厅 ,86.22, 南 , 简装 ,7, 2003年 , 板楼,19, 5个月以前发布,8780000.0,"101,833元/平",近地铁 VR看装修 房本满两年 随时看房 
冠城大通百旺府 2室1厅 南 北,冠城大通百旺府,海淀北部新区,2室1厅 ,87.57, 南 北 , 简装 ,9, 2012年 , 板楼,60, 5个月以前发布,6660000.0,"76,054元/平",VR看装修 房本满五年 随时看房 
恩济里小区 南向一居室 电梯楼,恩济里小区,定慧寺,1室1厅 ,48.66, 南 , 简装 ,15, 1992年 , 板楼,37, 6个月以前发布,3930000.0,"80,765元/平",近地铁 VR看装修 房本满五年 随时看房 
今典花园 满五年唯一 采光好 无遮挡户型方正 落地飘窗,今典花园,小西天,2室2厅 ,72.82, 西北 , 精装 ,25, 2002年 , 塔楼,38, 6个月以前发布,7180000.0,"98,600元/平",VR看装修 房本满五年 随时看房 
西直门 钢铁研究院 东南三居室 有电梯高楼层视野好,钢铁研究院,白石桥,3室1厅 ,71.9, 南 东 北 , 精装 ,16, 1991年 , 塔楼,44, 5个月以前发布,6990000.0,"97,219元/平",VR看装修 房本满两年 
凯盛家园  商品房可等满二过户  业主含个shui  可贷款,凯盛家园,海淀北部新区,1室1厅 ,60.41, 南 , 精装 ,15, 2013年 , 板楼,10, 3个月以前发布,3360000.0,"55,620元/平",VR看装修 随时看房 
