东城区二环内 天坛北门 桥湾地铁站 金鱼池西区南北2居,金鱼池西区,天坛,2室1厅 ,61.85, 南 北 , 精装 ,5, 2002年 , 板楼,56, 3个月以前发布,6050000.0,"97,818元/平",近地铁 VR房源 房本满五年 随时看房 
中海紫御公馆   精装修  对小区花园  满五唯一,中海紫御公馆,陶然亭,2室2厅 ,91.85, 南 , 精装 ,22, 2010年 , 板塔结合,42, 4个月以前发布,11680000.0,"127,164元/平",VR看装修 房本满五年 
万国城二期 恒温恒湿 南北通透三居  有钥匙，随时看,万国城MOMA,东直门,3室2厅 ,252.63, 南 北 , 精装 ,26, 2005年 , 板楼,14, 10个月以前发布,28000000.0,"110,835元/平",VR房源 房本满两年 随时看房 
海晟名苑南区 全新装修 高层观景 户型方正 采光好,海晟名苑南区,工体,3室1厅 ,141.45, 东 西 , 其他 ,22, 2003年 , 板塔结合,36, 9个月以前发布,18000000.0,"127,254元/平",近地铁 VR看装修 房本满五年 随时看房 
东花市北里中区 南北通透复式 前后不临街！,东花市北里中区,东花市,3室3厅 ,169.07, 南 北 , 简装 ,6, 1995年 , 板楼,11, 9个月以前发布,13000000.0,"76,892元/平",VR房源 房本满五年 随时看房 
低楼层南北西向方正3居 不临街 采光好 无遮挡,法华南里,崇文门,3室1厅 ,106.24, 南 西 北 , 精装 ,6, 1990年 , 板楼,17, 5个月以前发布,11980000.0,"112,764元/平",近地铁 VR看装修 房本满五年 随时看房 
满五唯一商品房，户型通透，易改造，交通便利。,景泰嘉园,永定门,3室2厅 ,147.89, 西南 , 简装 ,12, 2002年 , 塔楼,19, 9个月以前发布,10500000.0,"70,999元/平",近地铁 VR看装修 房本满五年 
崇文门国瑞城中区顶楼大复式带楼台,国瑞城中区,崇文门,6室2厅 ,305.8, 南 北 , 其他 ,10, 2006年 , 板楼,7, 3个月以前发布,38800000.0,"126,881元/平",近地铁 VR房源 
近地铁，视野采光好，看房方便，人文环境好,安德路47号院,安定门,1室1厅 ,36.7, 东南 , 其他 ,6, 1990年 , 板楼,137, 3个月以前发布,4980000.0,"135,695元/平",近地铁 VR看装修 房本满五年 随时看房 
府学小取灯胡同8号院封闭式管理，干净整洁,小取灯胡同8号院,东四,1室1厅 ,44.79, 南 西 东 , 精装 ,4, 1993年 , 板楼,5, 3个月以前发布,7500000.0,"167,449元/平",近地铁 VR房源 房本满两年 
京城仁合南北通透全明三居，次顶层，采光充足，无遮挡,京城仁合,广渠门,3室2厅 ,121.94, 南 西 北 , 其他 ,11, 2004年 , 板楼,26, 5个月以前发布,12900000.0,"105,790元/平",VR房源 房本满五年 
雍和家园 南向4居室 满五年唯一 业主诚心出售,雍和家园一期,和平里,4室2厅 ,267.32, 东 南 西 , 精装 ,16, 2001年 , 塔楼,25, 6个月以前发布,31990000.0,"119,670元/平",近地铁 VR房源 房本满五年 
南二环 10年次新房 南北通透的两居室 首套可贷款303万,中海紫御公馆,陶然亭,2室2厅 ,90.01, 南 北 西 , 精装 ,17, 2010年 , 板塔结合,114, 一年前发布,12500000.0,"138,874元/平",VR看装修 房本满五年 
东城区崇文区国瑞城带燃气精装修好房出售,国瑞城西区,崇文门,1室1厅 ,90.88, 北 东北 , 其他 ,16, 2009年 , 塔楼,15, 6个月以前发布,8650000.0,"95,181元/平",近地铁 VR房源 房本满两年 
左安漪园 4室1厅 南 西,左安漪园,左安门,4室1厅 ,174.26, 南 西 , 其他 ,18, 2004年 , 板塔结合,49, 一年前发布,17800000.0,"102,147元/平",VR房源 房本满五年 
新奥洋房 满五唯一，购房成本少，户型比较通透,新奥洋房,永定门,3室2厅 ,130.79, 东 南 西 , 简装 ,11, 2005年 , 板楼,37, 一年前发布,11000000.0,"84,105元/平",近地铁 VR看装修 房本满五年 
东中街 2室1厅 南 北,东中街,东直门,2室1厅 ,76.06, 南 北 , 简装 ,6, 1998年 , 板楼,13, 9个月以前发布,4980000.0,"65,475元/平",近地铁 VR房源 房本满五年 
花市枣苑二期 不止135.46平 四合院风格,花市枣苑二期,东花市,5室2厅 ,135.46, 东南 , 其他 ,17, 2004年 , 塔楼,13, 7个月以前发布,18990000.0,"140,189元/平",近地铁 VR房源 房本满五年 
富贵园一区 南北复式 精装修带地下车位 满五年唯一,富贵园一区,东花市,4室2厅 ,151.39, 南 北 , 其他 ,9, 2004年 , 板楼,16, 7个月以前发布,21000000.0,"138,715元/平",VR房源 房本满五年 
东城和平里  正规三居室  花园社区 24小时安保,大龙公寓,安贞,3室2厅 ,124.94, 南 西北 , 简装 ,21, 1999年 , 塔楼,21, 9个月以前发布,12600000.0,"100,849元/平",近地铁 VR看装修 房本满五年 
二环内 天坛旁 法华南里 电梯房 精装板楼复式,法华南里,崇文门,4室3厅 ,336.21, 南 北 , 精装 ,6, 1996年 , 板楼,52, 一年前发布,24980000.0,"74,299元/平",VR看装修 房本满五年 
全南三居室，采光视野好，精装修 ，满五唯一，无抵押,本家润园C区,东花市,3室1厅 ,97.45, 西南 , 精装 ,18, 2005年 , 板塔结合,41, 6个月以前发布,11200000.0,"114,931元/平",VR看装修 房本满五年 
东城区 安乐林二条 精装修上跃  采光视野好,安乐林二条,永定门,3室1厅 ,83.23, 南 北 , 精装 ,6, 1990年 , 板楼,14, 5个月以前发布,6500000.0,"78,097元/平",VR房源 房本满五年 
海运仓满五年唯一 精装3居 拎包入住 采光视野棒有车位,海运仓小区,东直门,3室2厅 ,95.02, 东 西 , 精装 ,9, 2002年 , 板楼,16, 5个月以前发布,10460000.0,"110,083元/平",近地铁 VR房源 房本满五年 
俊景苑一期 人车分流 北向复式 满五年 安静宜居 ！,禾风仕家,金宝街,3室1厅 ,75.47, 北 , 精装 ,10, 2000年 , 板塔结合,23, 7个月以前发布,12200000.0,"161,654元/平",近地铁 VR房源 房本满五年 
和平里五区三居双卫、两层独立私密，储物充足，采光好,和平里五区,和平里,3室2厅 ,92.68, 南 北 , 精装 ,6, 1996年 , 板楼,18, 4个月以前发布,8950000.0,"96,569元/平",近地铁 VR房源 房本满五年 
商品房大三居，双卫。很好，很少见，很实用。,新景家园西区,崇文门,3室2厅 ,139.17, 东 西 , 精装 ,12, 2001年 , 板塔结合,19, 一年前发布,17200000.0,"123,590元/平",VR看装修 房本满五年 
东花市北里+三居南北通透+中间层+户型方正+视野开阔,东花市北里中区,东花市,3室2厅 ,104.47, 南 北 , 简装 ,6, 1995年 , 板楼,37, 6个月以前发布,11390000.0,"109,027元/平",VR房源 房本满五年 
左安浦园小区 西南向大4居 精装修 全明格局,左安浦园,左安门,4室2厅 ,127.01, 西南 , 精装 ,16, 2004年 , 塔楼,82, 一年前发布,9800000.0,"77,160元/平",VR房源 房本满五年 
华世隆国际公寓 和平里 东城 九三 住宅精装 惠新 安贞,华世隆国际公寓,安贞,2室2厅 ,153.77, 南 北 , 精装 ,8, 2001年 , 塔楼,8, 3个月以前发布,9160000.0,"59,570元/平",近地铁 VR房源 房本满五年 
东城区 胡家园小区 亮马河畔 南北三居 边户客厅带窗户,胡家园小区,东直门,3室1厅 ,71.75, 东 南 北 , 简装 ,6, 1985年 , 板楼,9, 4个月以前发布,7300000.0,"101,743元/平",VR房源 房本满两年 
东城区 赵堂子胡同 南北通透 精装修两居室,赵堂子胡同,建国门内,2室1厅 ,57.77, 南 北 , 精装 ,6, 1989年 , 板楼,7, 3个月以前发布,6500000.0,"112,516元/平",近地铁 VR房源 房本满五年 
东水井胡同 3室1厅 南 北,东水井胡同,朝阳门内,3室1厅 ,89.17, 南 北 , 其他 ,15, 2005年 , 板楼,22, 4个月以前发布,9000000.0,"100,931元/平",近地铁 VR房源 房本满五年 
崇文门东大街 全南一居 满五年,崇文门东大街,崇文门,1室1厅 ,40.35, 南 , 其他 ,12, 1980年 , 板楼,11, 3个月以前发布,4890000.0,"121,190元/平",近地铁 VR房源 房本满五年 
东城区 东直门北 东西通透 精装修25万 新风系统带电梯,东直门北大街,东直门,2室1厅 ,61.99, 东 西 , 精装 ,12, 1989年 , 板塔结合,31, 4个月以前发布,5490000.0,"88,563元/平",近地铁 VR房源 房本满两年 
2号线东四十条瑞士公寓 东城 精装商品房社区,瑞士公寓,朝阳门外,1室1厅 ,94.35, 西 , 精装 ,19, 2008年 , 塔楼,3, 3个月以前发布,7500000.0,"79,492元/平",近地铁 VR房源 房本满两年 
二环外和平新城03年建 满五唯一 南北大两居 管理好,和平新城一期,和平里,2室1厅 ,112.26, 南 北 , 简装 ,19, 2003年 , 板塔结合,8, 4个月以前发布,14100000.0,"125,602元/平",近地铁 VR看装修 房本满五年 随时看房 
东城区 南北通透 两居室 电梯房,景泰西里西区,永定门,2室1厅 ,88.66, 南 北 , 简装 ,9, 2005年 , 板塔结合,14, 3个月以前发布,7300000.0,"82,338元/平",近地铁 VR看装修 房本满五年 
2004年社区 低楼层 全南两居 满五唯一 出行方便,绿景馨园,广渠门,2室0厅 ,52.22, 南 , 简装 ,6, 2004年 , 板楼,9, 4个月以前发布,6370000.0,"121,984元/平",近地铁 VR看装修 房本满五年 
南二环 东城区 天坛南门 电梯三居室 南北通透明厨明卫,景泰东里,蒲黄榆,3室1厅 ,82.18, 南 西 北 , 简装 ,9, 1994年 , 板塔结合,21, 3个月以前发布,6400000.0,"77,878元/平",近地铁 VR房源 房本满五年 
体育馆西路2号院 2室1厅 南 北,体育馆西路2号院,崇文门,2室1厅 ,56.62, 南 北 , 精装 ,6, 1990年 , 板楼,35, 4个月以前发布,5350000.0,"94,490元/平",近地铁 VR房源 房本满两年 
东西通透两居室，明厨明卫全明格局，2层上下楼方便。,东晓市街,天坛,2室1厅 ,48.81, 东 西 , 简装 ,5, 1974年 , 板楼,24, 4个月以前发布,4130000.0,"84,614元/平",近地铁 VR房源 房本满五年 
和平里五区 中楼层 南北通透  满五年唯一    着急出售,和平里五区,和平里,2室1厅 ,55.12, 南 北 , 简装 ,6, 1995年 , 板楼,18, 4个月以前发布,6850000.0,"124,275元/平",近地铁 VR房源 房本满五年 
东城2009年满五唯一商品房精装三居,华龙美晟,永定门,3室2厅 ,129.39, 西南 , 精装 ,12, 2009年 , 板塔结合,61, 4个月以前发布,11300000.0,"87,333元/平",近地铁 VR房源 房本满五年 
胡家园小区 3室1厅 东 南 西,胡家园小区,东直门,3室1厅 ,81.21, 东 南 西 , 简装 ,20, 1992年 , 塔楼,14, 4个月以前发布,8700000.0,"107,130元/平",VR看装修 房本满五年 
青年湖东里 精装修 中间楼层小两居,青年湖东里,安定门,2室1厅 ,41.45, 东 北 , 精装 ,6, 1990年 , 板楼,11, 3个月以前发布,4990000.0,"120,387元/平",近地铁 VR房源 房本满五年 
东单协和北大街5号小区大堂24小时管家服务,建国门北大街5号,建国门内,1室1厅 ,57.61, 西 , 简装 ,24, 2008年 , 板楼,8, 3个月以前发布,4900000.0,"85,055元/平",近地铁 VR房源 房本满两年 随时看房 
东北二环内，东直门北小街8号院，电梯直达，两居,东直门内北小街8号院,东直门,2室1厅 ,83.87, 西 , 简装 ,13, 2003年 , 板塔结合,10, 3个月以前发布,8800000.0,"104,925元/平",VR房源 房本满五年 
东城区二环边 高层一居带电梯 正对小区花园 双地铁,城市亮点,永定门,1室1厅 ,45.39, 北 , 简装 ,12, 2003年 , 板塔结合,0, 3个月以前发布,4590000.0,"101,124元/平",VR看装修 房本满五年 
民安小区东直门内北小街  电梯高层 视野开阔,民安小区东直门内北小街,东直门,2室1厅 ,70.85, 南 , 简装 ,16, 2003年 , 板楼,14, 3个月以前发布,8500000.0,"119,972元/平",VR房源 房本满两年 
兴化西里2005年建成，楼龄新，满五唯一，东西大一居,兴化西里,和平里,1室1厅 ,58.58, 东 西 , 其他 ,6, 2005年 , 板楼,1, 3个月以前发布,6300000.0,"107,546元/平",近地铁 VR看装修 房本满五年 
新奥洋房，满五年唯一，南北通透两居,新奥洋房,永定门,2室1厅 ,124.84, 南 北 , 简装 ,11, 2006年 , 板塔结合,8, 3个月以前发布,11500000.0,"92,118元/平",VR房源 房本满五年 
东城区  正规两居  无遮挡  采光好  8号14号双地铁,宝华家园,永定门,2室1厅 ,89.51, 西南 , 简装 ,21, 2000年 , 塔楼,1, 3个月以前发布,7200000.0,"80,438元/平",VR看装修 房本满五年 
苏州胡同101号院 低层 全南一居室 满五年唯一 诚售！,苏州胡同,建国门内,1室1厅 ,40.66, 南 , 精装 ,5, 1958年 , 板楼,6, 3个月以前发布,4980000.0,"122,480元/平",近地铁 VR看装修 房本满五年 
2004年社区 绿景馨园 南北通透 中间楼层 老业主的房,绿景馨园,广渠门,3室1厅 ,76.84, 南 北 , 精装 ,6, 2004年 , 板楼,14, 3个月以前发布,8600000.0,"111,921元/平",近地铁 VR房源 房本满五年 
法华南里 485万的三层一居室 94年楼 不临街,法华南里,崇文门,1室1厅 ,47.56, 西 , 简装 ,6, 1994年 , 板楼,7, 3个月以前发布,4580000.0,"96,300元/平",近地铁 VR看装修 房本满两年 
和平里五区 中楼层 南北通透  满五年唯一    着急出售,和平里五区,和平里,2室1厅 ,55.12, 南 北 , 简装 ,6, 1995年 , 板楼,18, 4个月以前发布,6850000.0,"124,275元/平",近地铁 VR房源 房本满五年 
禾风相府东向两居室，业主诚意出售,禾风相府,金宝街,2室1厅 ,96.26, 东 , 简装 ,14, 2004年 , 板楼,6, 4个月以前发布,12300000.0,"127,779元/平",VR看装修 房本满五年 随时看房 
朝阳门北小街，南北通透复式！一层两户！2003年社区,朝阳门北小街,朝阳门内,4室2厅 ,117.92, 南 北 , 其他 ,6, 2003年 , 板楼,24, 11个月以前发布,11200000.0,"94,980元/平",近地铁 VR房源 房本满两年 
客厅正对小区花园 比较安静 低楼层 精装修,雍和家园一期,和平里,3室2厅 ,158.39, 西南 北 , 精装 ,16, 2001年 , 板塔结合,13, 5个月以前发布,19500000.0,"123,114元/平",VR房源 房本满两年 
青年湖旁 花园社区  视野开阔直观北京城 电梯直达,湖景苑,安定门,4室2厅 ,146.65, 东 南 西 , 精装 ,10, 2003年 , 板塔结合,809, 5个月以前发布,19200000.0,"130,924元/平",近地铁 VR房源 房本满两年 
东城 长安太和 2012年楼盘 全新房精装修 70年产权,长安太和,建国门内,4室2厅 ,229.85, 东北 , 精装 ,24, 2012年 , 板塔结合,16, 一年前发布,34000000.0,"147,923元/平",VR房源 房本满五年 
元嘉国际公寓 3室1厅 东,元嘉国际公寓,东直门,3室1厅 ,144.17, 东 , 简装 ,10, 2003年 , 塔楼,25, 一年前发布,12200000.0,"84,623元/平",VR房源 房本满五年 
京宝花园 格局好 户型方正 采光视野没有遮挡,京宝花园,安定门,3室1厅 ,117.2, 东 北 , 简装 ,12, 1994年 , 板楼,17, 7个月以前发布,11000000.0,"93,857元/平",VR看装修 房本满五年 
二环内 商品房 两梯三户 满五唯一 人车分流 双卫生间,京城仁合,广渠门,3室2厅 ,123.22, 东 西 , 精装 ,16, 2004年 , 板楼,10, 一年前发布,12300000.0,"99,822元/平",VR看装修 房本满两年 
春风拂面庭院绿、独享清幽——法华南里·30万硬装,法华南里,崇文门,3室1厅 ,117.57, 南 北 , 精装 ,6, 1991年 , 板楼,69, 一年前发布,10500000.0,"89,309元/平",近地铁 VR看装修 房本满五年 
春秀路小区 南北三居室 不临街 采光好,春秀路,东直门,3室1厅 ,93.82, 南 北 , 简装 ,6, 1998年 , 板楼,41, 一年前发布,9100000.0,"96,995元/平",近地铁 VR房源 房本满五年 
雍和家园南北通透的3居室，全明格局，视野开阔。,雍和家园一期,和平里,3室1厅 ,179.61, 南 北 , 其他 ,16, 2003年 , 板塔结合,42, 7个月以前发布,22300000.0,"124,158元/平",近地铁 VR房源 房本满五年 
花市枣苑，花市枣苑三期，花市枣苑,花市枣苑三期,东花市,2室2厅 ,94.07, 东北 , 精装 ,17, 2005年 , 塔楼,28, 一年前发布,11350000.0,"120,655元/平",VR看装修 房本满五年 
枣苑全南两居，对小区花园，双卫生间设计，温泉入户,花市枣苑一期,东花市,2室1厅 ,108.28, 南 , 精装 ,18, 2001年 , 塔楼,8, 6个月以前发布,14500000.0,"133,913元/平",近地铁 VR看装修 房本满五年 
民安小区无遮挡，不临街，带电梯，采光好，面积大,民安小区东直门内北小街,东直门,3室1厅 ,107.15, 西 , 精装 ,16, 2003年 , 板楼,26, 4个月以前发布,10500000.0,"97,994元/平",VR房源 房本满五年 
此房 南 东 西通透，满五唯一的，视野开阔，环境优雅,本家润园一期,东花市,3室1厅 ,156.26, 南 东 西 , 精装 ,12, 2006年 , 板楼,26, 9个月以前发布,19000000.0,"121,593元/平",VR看装修 房本满五年 随时看房 
高楼层，精装修，视野好，楼下就是家乐福,富贵园三区,东花市,2室1厅 ,77.43, 西 , 精装 ,18, 2002年 , 塔楼,73, 一年前发布,7000000.0,"90,405元/平",近地铁 VR看装修 房本满五年 
东城 东直门 高楼层 东南向 三居室,东方银座,东直门,3室1厅 ,164.75, 东南 , 精装 ,25, 2003年 , 塔楼,14, 4个月以前发布,13900000.0,"84,371元/平",近地铁 VR房源 房本满两年 
6层板楼带电梯  电梯直达  1梯2户  南北通透无遮挡,法华南里,崇文门,5室2厅 ,221.84, 南 北 , 精装 ,6, 1996年 , 板楼,14, 9个月以前发布,19910000.0,"89,750元/平",VR看装修 房本满两年 
满五年唯一商品房，房子无遮挡 大落地窗敞亮，二环里,左安漪园,左安门,3室1厅 ,155.56, 西南 , 精装 ,17, 2004年 , 板塔结合,26, 一年前发布,17000000.0,"109,283元/平",VR房源 房本满两年 
新景家园东区 商品房 满五年唯一 不临街对花园,新景家园东区,崇文门,1室1厅 ,57.77, 东南 , 精装 ,13, 2005年 , 板楼,7, 3个月以前发布,7300000.0,"126,364元/平",VR房源 房本满五年 
广渠门 金世纪嘉园商品房一居室 户型方正,金世纪嘉园,广渠门,1室1厅 ,68.62, 北 , 精装 ,21, 2003年 , 塔楼,4, 3个月以前发布,6800000.0,"99,097元/平",VR看装修 房本满五年 
朝内大街201号院，社科院家属楼，诚意出售,朝内大街201号院,东四,1室1厅 ,30.74, 东北 , 简装 ,3, 1999年 , 板楼,3, 3个月以前发布,5200000.0,"169,161元/平",近地铁 VR房源 房本满五年 
景泰东里南向一居室采光好。1994年,景泰东里,蒲黄榆,1室1厅 ,51.28, 南 , 简装 ,6, 1994年 , 板楼,5, 3个月以前发布,3990000.0,"77,809元/平",近地铁 VR看装修 房本满五年 随时看房 
东厂胡同 南向1居室 采光好 视野佳 环境好 小区已整改,东厂胡同,灯市口,1室1厅 ,40.4, 南 , 简装 ,6, 1987年 , 板楼,5, 3个月以前发布,5250000.0,"129,951元/平",近地铁 VR看装修 房本满两年 
北官厅胡同小区 精装修电梯直达一居室,北官厅胡同,东直门,1室1厅 ,44.67, 南 , 精装 ,16, 1993年 , 塔楼,8, 3个月以前发布,5500000.0,"123,126元/平",VR房源 房本满五年 
左安浦园 正规一居 高楼层 无遮挡,左安浦园,左安门,1室1厅 ,68.47, 西 , 精装 ,18, 2004年 , 板楼,10, 3个月以前发布,6020000.0,"87,922元/平",VR看装修 房本满五年 
龙潭湖火桥北里满五年唯一东西通透板楼两居,火桥北里,左安门,2室1厅 ,54.33, 东 西 , 精装 ,6, 1984年 , 板楼,30, 7个月以前发布,4650000.0,"85,589元/平",VR房源 房本满五年 随时看房 
东城区花园洋房新奥洋房南北通透大3居,新奥洋房,永定门,3室2厅 ,151.42, 南 北 , 精装 ,11, 2006年 , 板塔结合,22, 8个月以前发布,14500000.0,"95,761元/平",VR看装修 房本满五年 
兴隆都市馨园南北三居复式采光好,兴隆都市馨园,崇文门,3室2厅 ,106.0, 南 北 , 其他 ,7, 2004年 , 板楼,13, 6个月以前发布,9660000.0,"91,133元/平",近地铁 VR房源 房本满五年 
富贵园一区纯商品房高层复式五居室,富贵园一区,东花市,5室2厅 ,227.17, 南 北 , 精装 ,10, 2003年 , 板楼,51, 一年前发布,30000000.0,"132,060元/平",VR房源 房本满五年 
东城区崇文区广渠门法华寺南里小区,法华南里,崇文门,4室2厅 ,118.15, 南 北 , 其他 ,6, 1994年 , 板楼,19, 一年前发布,10800000.0,"91,410元/平",近地铁 VR房源 房本满五年 
东城区 二环边 南北通透 平层四居,天天家园,永定门,4室2厅 ,192.91, 南 北 , 精装 ,9, 2003年 , 板楼,257, 一年前发布,18490000.0,"95,848元/平",VR看装修 房本满五年 
东城区西南三居室 高楼层无遮挡 双地铁,天天家园,永定门,3室1厅 ,151.93, 西南 , 精装 ,11, 2002年 , 塔楼,156, 一年前发布,12150000.0,"79,972元/平",近地铁 VR房源 房本满五年 
中海紫御公馆双卧南大阳台精装两居室,中海紫御公馆,陶然亭,2室2厅 ,91.8, 南 , 精装 ,22, 2010年 , 板塔结合,43, 一年前发布,11800000.0,"128,541元/平",VR看装修 房本满两年 
花市枣苑 非顶层复式 只有契税 采光视野好,花市枣苑二期,东花市,4室3厅 ,286.17, 南 , 精装 ,19, 2004年 , 塔楼,14, 11个月以前发布,29900000.0,"104,484元/平",VR房源 房本满五年 
中海紫御公馆次次顶层三居室，南向采光好明厨明卫,中海紫御公馆,陶然亭,3室2厅 ,136.12, 南 , 精装 ,17, 2010年 , 板塔结合,155, 8个月以前发布,18200000.0,"133,706元/平",VR看装修 房本满五年 
万国城 全新装修，高层跃层，南北通透,万国城MOMA,东直门,4室2厅 ,314.93, 南 北 , 精装 ,26, 2002年 , 板楼,45, 6个月以前发布,46000000.0,"146,065元/平",VR房源 房本满五年 
东城区，西南3居室，采光好，无遮挡，有车位,华龙美晟,永定门,3室2厅 ,129.39, 西南 , 简装 ,12, 2009年 , 板塔结合,175, 7个月以前发布,11280000.0,"87,179元/平",近地铁 VR看装修 房本满五年 
富贵园四区 南北通透  中间单元三居室 小区安静！,富贵园四区,东花市,3室2厅 ,130.93, 南 北 , 精装 ,6, 2006年 , 板楼,35, 9个月以前发布,17900000.0,"136,715元/平",近地铁 VR房源 房本满五年 
天坛公园北门 桥湾地铁站 金鱼池东区 6跃7层 复式3居,金鱼池东区,天坛,3室2厅 ,108.08, 东 西 , 精装 ,7, 2002年 , 板楼,46, 5个月以前发布,7900000.0,"73,095元/平",近地铁 VR房源 房本满五年 
东花市北里 南北通透 复式 小区中间位置 不临街,东花市北里东区,东花市,3室1厅 ,73.52, 南 北 , 简装 ,6, 1992年 , 板楼,25, 8个月以前发布,9250000.0,"125,817元/平",VR房源 房本满五年 
富贵园 南北三居 中楼层  户型方正 精装修,富贵园四区,东花市,3室2厅 ,134.87, 南 北 , 精装 ,12, 2006年 , 板楼,23, 10个月以前发布,18350000.0,"136,057元/平",VR看装修 房本满五年 
楼层好 视野宽阔 采光充足 配套设施齐全,美惠大厦,朝阳门外,3室1厅 ,187.1, 东 西 , 毛坯 ,15, 1998年 , 塔楼,20, 一年前发布,13500000.0,"72,154元/平",近地铁 VR房源 房本满五年 
民安小区东直门内北小街南北通透无遮挡带电梯复式,民安小区东直门内北小街,东直门,4室2厅 ,134.26, 南 北 , 其他 ,16, 2003年 , 板楼,47, 9个月以前发布,12900000.0,"96,083元/平",VR房源 房本满五年 
东直门胡家园26号院东城大三居 中间楼层 楼龄新,胡家园26号院,东直门,3室1厅 ,129.82, 东 西 , 简装 ,6, 1996年 , 板楼,16, 10个月以前发布,13700000.0,"105,531元/平",VR看装修 房本满五年 
金鱼池中区 东西通透两居室 低楼层 诚心出售,金鱼池中区,天坛,2室1厅 ,72.67, 东 西 , 简装 ,7, 2002年 , 板楼,10, 一年前发布,7380000.0,"101,555元/平",VR房源 房本满两年 随时看房 
本房全朝东向没有遮挡，视野开阔，中间楼层，采光好。,京城仁合,广渠门,2室1厅 ,100.14, 东 , 简装 ,16, 2004年 , 板楼,7, 9个月以前发布,11000000.0,"109,847元/平",VR房源 房本满五年 随时看房 
双卧朝南   安静  看房方便 调高3米  采光无遮挡,金世纪嘉园,广渠门,3室1厅 ,103.65, 南 北 , 简装 ,21, 2004年 , 塔楼,81, 一年前发布,9630000.0,"92,909元/平",近地铁 VR看装修 房本满五年 
新景家园东区 二期青春新坐标 全南一居,新景家园东区,崇文门,1室1厅 ,58.05, 南 , 精装 ,16, 2005年 , 板楼,41, 10个月以前发布,6990000.0,"120,414元/平",VR房源 房本满五年 随时看房 
满五年单位分房，户型好，南北双阳台，前后无遮挡,上龙西里,安定门,3室1厅 ,62.49, 南 北 , 简装 ,6, 1989年 , 板楼,35, 一年前发布,7480000.0,"119,700元/平",近地铁 VR看装修 房本满五年 随时看房 
广渠家园板楼带电梯 全新装修 满五唯一,广渠家园,广渠门,2室1厅 ,63.75, 东 西 , 精装 ,18, 2009年 , 板楼,18, 7个月以前发布,7250000.0,"113,726元/平",VR看装修 房本满五年 
二环边，东城区，满五唯一，店长、电梯直达三居室,广渠门外南街,广渠门,3室1厅 ,81.38, 东 , 简装 ,12, 1992年 , 板塔结合,35, 5个月以前发布,6800000.0,"83,559元/平",近地铁 VR看装修 房本满五年 
70年产权商品房 满五唯一 二环内 文汇 广渠门,金桥国际,广渠门,2室1厅 ,89.49, 南 , 精装 ,21, 2004年 , 板塔结合,84, 8个月以前发布,8300000.0,"92,748元/平",VR看装修 房本满五年 
花市枣苑三期一居正对小区花园满五年唯一,花市枣苑三期,东花市,1室1厅 ,59.48, 北 , 其他 ,18, 2005年 , 板塔结合,4, 9个月以前发布,6500000.0,"109,281元/平",VR看装修 房本满五年 随时看房 
二环里 东城区 向新西里小区 东西通透两居室 龙潭湖畔,向新西里,左安门,2室1厅 ,54.19, 东 西 , 简装 ,5, 1970年 , 板楼,8, 5个月以前发布,4690000.0,"86,548元/平",VR房源 房本满五年 随时看房 
和平里五区地坛公园地坛五号线边上的有一居,和平里五区,和平里,1室1厅 ,37.38, 西南 , 简装 ,6, 1996年 , 板楼,6, 5个月以前发布,4600000.0,"123,061元/平",近地铁 VR看装修 房本满五年 
格局方正，高楼层位置好，采光充足，直观中国尊,本家润园一期,东花市,2室1厅 ,76.15, 东 南 北 , 精装 ,12, 2005年 , 板楼,24, 4个月以前发布,11000000.0,"144,452元/平",VR房源 房本满五年 随时看房 
大龙公寓，东城央产房，房龄1998年，优质大三居。,大龙公寓,安贞,3室1厅 ,118.09, 西北 , 其他 ,21, 1998年 , 塔楼,6, 10个月以前发布,12800000.0,"108,392元/平",近地铁 VR看装修 房本满五年 随时看房 
新上工体北里带电梯东向两居室有钥匙,工体北里,工体,2室1厅 ,50.81, 东 , 简装 ,6, 1984年 , 板楼,5, 5个月以前发布,5700000.0,"112,183元/平",近地铁 VR看装修 房本满五年 随时看房 
忠实里小区 户型方正 交通便利 双阳台 楼层高 视野好,忠实里,广渠门,2室1厅 ,59.42, 西北 , 简装 ,16, 1986年 , 塔楼,17, 一年前发布,6200000.0,"104,342元/平",近地铁 VR看装修 房本满五年 随时看房 
民安小区 东直门 朝东一居室 无遮挡 对花园 有电梯,民安小区东直门内北小街,东直门,1室1厅 ,60.44, 东 , 简装 ,14, 2003年 , 板楼,25, 5个月以前发布,6660000.0,"110,192元/平",VR房源 房本满五年 随时看房 
花市枣苑东南角三居室，满五唯一，温泉入户！,花市枣苑二期,东花市,3室2厅 ,172.58, 东 南 , 简装 ,17, 2004年 , 塔楼,9, 4个月以前发布,18800000.0,"108,935元/平",近地铁 VR看装修 房本满五年 
东西通透，视野好，采光棒，配套齐全，交通便利,金鱼池东区,天坛,4室2厅 ,134.81, 东 西 , 简装 ,7, 2002年 , 板楼,12, 5个月以前发布,9370000.0,"69,506元/平",VR房源 房本满五年 
崇文门国瑞城中区 南北三居室正对商品院 挑高2.7米,国瑞城中区,崇文门,3室1厅 ,103.7, 南 北 , 精装 ,16, 2006年 , 塔楼,80, 10个月以前发布,11900000.0,"114,755元/平",VR看装修 房本满两年 
